recordedBy	recordNumber	decimalLatitude	decimalLongitude	identifiedBy	specificEpithet	ID	Species
A_A_de_Oliveira	278	-2.31537	-59.6855	D. C. Daly	aracouchini	A_A_de_Oliveira_278	Protium aracouchini
A_B_Anderson	214	-3.18524	-60.1302	D. C. Daly	heptaphyllum	A_B_Anderson_214	Protium heptaphyllum
A_C_Londoño	1486	-0.57	-72.13	D. C. Daly	aracouchini	A_C_Londoño_1486	Protium aracouchini
A_C_Londoño	493	-0.57	-72.13	D. C. Daly	aracouchini	A_C_Londoño_493	Protium aracouchini
A_C_Weber	s_n	0.3	-66.7	D. C. Daly	aracouchini	A_C_Weber_s_n	Protium aracouchini
A_Castillo	1609	6.42	-67.42	D. C. Daly	heptaphyllum	A_Castillo_1609	Protium heptaphyllum
A_Castillo	2297	6.42	-67.42	D. C. Daly	heptaphyllum	A_Castillo_2297	Protium heptaphyllum
A_Castillo	2372	6.42	-67.42	D. C. Daly	heptaphyllum	A_Castillo_2372	Protium heptaphyllum
A_Castillo	4611	4.975	-67.667	D. C. Daly	heptaphyllum	A_Castillo_4611	Protium heptaphyllum
A_Castillo	4650	4.975	-67.667	D. C. Daly	heptaphyllum	A_Castillo_4650	Protium heptaphyllum
A_Castillo	5004	4.975	-67.667	D. C. Daly	heptaphyllum	A_Castillo_5004	Protium heptaphyllum
A_Castillo	5005	4.975	-67.667	D. C. Daly	heptaphyllum	A_Castillo_5005	Protium heptaphyllum
A_Chaviel	144	4.97	-65.33	D. C. Daly	heptaphyllum	A_Chaviel_144	Protium heptaphyllum
A_Dik	1579	-1	-76.18	D. C. Daly	aracouchini	A_Dik_1579	Protium aracouchini
A_Dik	1606	-1.03	-76.18	D. C. Daly	aracouchini	A_Dik_1606	Protium aracouchini
A_Dik	1616	-1.03	-76.18	D. C. Daly	aracouchini	A_Dik_1616	Protium aracouchini
A_Euponino	186	-16.38	-39.13	D. C. Daly	aracouchini	A_Euponino_186	Protium aracouchini
A_F_Fuentes	5532	-14.4478	-67.5267	D. C. Daly	heptaphyllum	A_F_Fuentes_5532	Protium heptaphyllum
A_Fernandez	4251	7.95	-64.37	D. C. Daly	heptaphyllum	A_Fernandez_4251	Protium heptaphyllum
A_Fernandez	4335	4.97	-63.4	D. C. Daly	aracouchini	A_Fernandez_4335	Protium aracouchini
A_Fernandez	4897	5.3	-63.98	D. C. Daly	aracouchini	A_Fernandez_4897	Protium aracouchini
A_Fernandez	5796	6.57	-66.38	D. C. Daly	aracouchini	A_Fernandez_5796	Protium aracouchini
A_Fernandez	6622	3.05	-67.48	D. C. Daly	heptaphyllum	A_Fernandez_6622	Protium heptaphyllum
A_Fernandez	6921	2.96667	-64.6833	D. C. Daly	aracouchini	A_Fernandez_6921	Protium aracouchini
A_Gröger	338	5.97	-67.37	D. C. Daly	heptaphyllum	A_Gröger_338	Protium heptaphyllum
A_Gröger	963	4.37	-67.75	D. C. Daly	aracouchini	A_Gröger_963	Protium aracouchini
A_H_Gentry	12970	-1.85958	-60.086	D. C. Daly	heptaphyllum	A_H_Gentry_12970	Protium heptaphyllum
A_H_Gentry	12974	-1.85958	-60.086	D. C. Daly	heptaphyllum	A_H_Gentry_12974	Protium heptaphyllum
A_H_Gentry	21355	-4.92	-73.67	D. C. Daly	aracouchini	A_H_Gentry_21355	Protium aracouchini
A_H_Gentry	37260	-10.83	-75	D. C. Daly	aracouchini	A_H_Gentry_37260	Protium aracouchini
A_H_Gentry	40619	3.1	-77.22	D. C. Daly	aracouchini	A_H_Gentry_40619	Protium aracouchini
A_H_Gentry	46353	5.67	-67.67	D. C. Daly	heptaphyllum	A_H_Gentry_46353	Protium heptaphyllum
A_H_Gentry	46911	0.83	-66.08	D. C. Daly	aracouchini	A_H_Gentry_46911	Protium aracouchini
A_H_Gentry	46957	0.83	-66.13	D. C. Daly	aracouchini	A_H_Gentry_46957	Protium aracouchini
A_H_Gentry	50184	-8.05	-34.92	D. C. Daly	heptaphyllum	A_H_Gentry_50184	Protium heptaphyllum
A_H_Gentry	51087	-12.82	-69.72	D. C. Daly	aracouchini	A_H_Gentry_51087	Protium aracouchini
A_H_Gentry	51350	-12.82	-69.72	D. C. Daly	aracouchini	A_H_Gentry_51350	Protium aracouchini
A_H_Gentry	57804	-12.83	-69.28	D. C. Daly	aracouchini	A_H_Gentry_57804	Protium aracouchini
A_H_Gentry	62798	3.97	-77	D. C. Daly	aracouchini	A_H_Gentry_62798	Protium aracouchini
A_H_Gentry	65167	-0.42	-72.32	D. C. Daly	heptaphyllum	A_H_Gentry_65167	Protium heptaphyllum
A_Knob	738	-1.91556	-59.4734	D. C. Daly	heptaphyllum	A_Knob_738	Protium heptaphyllum
A_Krapovickas	45701	-25.5	-56.9167	D. C. Daly	heptaphyllum	A_Krapovickas_45701	Protium heptaphyllum
A_L_Bernardi	3_81	-4.92	-73.75	D. C. Daly	aracouchini	A_L_Bernardi_3_81	Protium aracouchini
A_Le_Goff	107	5.38	-52.92	D. C. Daly	heptaphyllum	A_Le_Goff_107	Protium heptaphyllum
A_Lisboa	s_n_	-5.5058	-45.2431	D. C. Daly	heptaphyllum	A_Lisboa_s_n_	Protium heptaphyllum
A_Loureiro	s_n	-3.10194	-60.025	D. C. Daly	aracouchini	A_Loureiro_s_n	Protium aracouchini
A_M_Amorim	1499	-11.3508	-37.4481	D. C. Daly	heptaphyllum	A_M_Amorim_1499	Protium heptaphyllum
A_M_Amorim	2165	-12.5633	-41.3897	D. C. Daly	heptaphyllum	A_M_Amorim_2165	Protium heptaphyllum
A_M_Amorim	361	-14.4781	-39.0331	D. C. Daly	aracouchini	A_M_Amorim_361	Protium aracouchini
A_M_Carrión	283	-14.7506	-61.1436	D. C. Daly	heptaphyllum	A_M_Carrión_283	Protium heptaphyllum
A_M_Carrión	342	-14.7506	-61.1436	D. C. Daly	heptaphyllum	A_M_Carrión_342	Protium heptaphyllum
A_M_V_de_Carvalho	1010	-12.5633	-41.3897	D. C. Daly	heptaphyllum	A_M_V_de_Carvalho_1010	Protium heptaphyllum
A_M_V_de_Carvalho	4554	-15.15	-39.08	D. C. Daly	aracouchini	A_M_V_de_Carvalho_4554	Protium aracouchini
A_M_V_de_Carvalho	4668	-14.7819	-39.0692	D. C. Daly	aracouchini	A_M_V_de_Carvalho_4668	Protium aracouchini
