"id"	"institutionCode"	"datasetName"	"basisOfRecord"	"catalogNumber"	"recordedBy"	"recordNumber"	"occurrenceDetails"	"eventDate"	"continent"	"country"	"stateProvince"	"county"	"locality"	"minimumElevationInMeters"	"maximumElevationInMeters"	"decimalLatitude"	"decimalLongitude"	"geodeticDatum"	"coordinateUncertaintyInMeters"	"identifiedBy"	"typeStatus"	"scientificName"	"kingdom"	"phylum"	"family"	"genus"	"specificEpithet"	"infraspecificEpithet"	"taxonRank"	"scientificNameAuthorship"
"928940c3-fd41-4d3e-92ff-333b661e8149"	"NY"	"New York Botanical Garden"	"S"	"1274378"	"A. Fernandez"	"6921"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1514785"	"1990"	"South America"	"Venezuela"	"Amazonas"	"Mun. Atabapo"	"Río Ocamo, Cerro Mawedi"	"340"	"340"	"2.96667"	"-64.6833"			"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"7bb25ac9-f899-428c-b8f5-2b5b4cd16317"	"NY"	"New York Botanical Garden"	"S"	"1274415"	"Y. Fernandez"	"398"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1515243"	"1989"	"South America"	"Venezuela"	"Bolívar"	"Sucre"	"Peniplanicie y lomerios ubicados al sureste de Pie de Salto (Río Caura), aprox. a 20 en helicópt."	"308"	"308"	"6.23"	"-64.2"			"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"15dc67bf-c1df-44d5-9112-30fa5e424466"	"NY"	"New York Botanical Garden"	"S"	"1274436"	"F. J. Breteler"	"4803"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1515373"	"1965"	"South America"	"Venezuela"	"Amazonas"		"Orinoco R. Southern part of Isla del Ratón"	"90"	"90"	"5.03"	"-67.77"			"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"12a00cca-9459-4c26-8ffd-673f2a675427"	"NY"	"New York Botanical Garden"	"S"	"1274394"	"B. G. Stergios D."	"15013"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1515163"	"1991"	"South America"	"Venezuela"	"Amazonas"		"Mision Río Mavaca"	"185"	"185"	"2.43333"	"-65.1167"	"Coordinates on label."		"A. Licata"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"ef9d56c1-096b-409f-994e-612499591fb2"	"NY"	"New York Botanical Garden"	"S"	"1274435"	"H. L. Clark"	"7285"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1515372"	"1980"	"South America"	"Venezuela"	"Amazonas"		"San Carlos de Rio Negro, ca. 20 km S of confluence of Rio Negro and Brazo Casiquiare.  Main study site, 4.3 km NNE on Solano road."	"119"		"1.93"	"-67.05"	"Label"		"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"a0c243d9-a314-4be8-8be6-2ef925cb9bc1"	"NY"	"New York Botanical Garden"	"S"	"1274416"	"Y. Fernandez"	"448"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1515246"	"1989"	"South America"	"Venezuela"	"Bolívar"	"Sucre"	"Aprox. 70 km al SE de Hato la Vergareña."	"293"		"6.47"	"-64.2"	"Label"		"N. Cuello A."		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"3863ed26-81df-48be-a868-50fe8cd4c234"	"NY"	"New York Botanical Garden"	"S"	"1274247"	"J. M. Pires"	"10737"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1513459"	"1967"	"South America"	"Brazil"	"Pará"	"Belém"	"IPEAN, Reserva Mocambo"			"-1.44026"	"-48.4173"	"Georeferencing Quick Reference Guide, Version 2012"	"8010.16"	"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"1d531e80-7a5f-4014-9979-683063a65976"	"NY"	"New York Botanical Garden"	"S"	"1274353"	"J. M. Schunke-Vigo"	"9290"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1514471"	"1976"	"South America"	"Peru"	"Huánuco"	"Leoncio Prado Province"	"Distrito: Daniel Alomias Robles. Al Oeste del Restaurante Cañabraba, cerca a Delicios."	"800"	"900"					"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"f87f7498-4781-4a2e-ac2a-6930ec47cd24"	"NY"	"New York Botanical Garden"	"S"	"1274370"	"J. P. Schulz"	"7414"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1514706"	"1955"	"South America"	"Suriname"			"Wayombo River, East of Donderkreek."									"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
"bbe54ec7-06ac-49a0-b247-a3367ec443ea"	"NY"	"New York Botanical Garden"	"S"	"1274421"	"T. Lasser"	"1865"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1515299"	"1946"	"South America"	"Venezuela"			"Guayana venezolana, selva de Oparumá; Kavanayen"							"D. C. Daly"		"Protium aracouchini (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"aracouchini"			"(Aubl.) Marchand"
