"id"	"institutionCode"	"datasetName"	"basisOfRecord"	"catalogNumber"	"recordedBy"	"recordNumber"	"occurrenceDetails"	"eventDate"	"continent"	"country"	"stateProvince"	"county"	"locality"	"minimumElevationInMeters"	"maximumElevationInMeters"	"decimalLatitude"	"decimalLongitude"	"geodeticDatum"	"coordinateUncertaintyInMeters"	"identifiedBy"	"typeStatus"	"scientificName"	"kingdom"	"phylum"	"family"	"genus"	"specificEpithet"	"infraspecificEpithet"	"taxonRank"	"scientificNameAuthorship"
"8ec52c35-e319-4e56-8d05-60fa90da0077"	"NY"	"New York Botanical Garden"	"S"	"904888"	"T. W. Henkel"	"3078"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1065954"	"1993"	"South America"	"Guyana"	"Upper Takutu-Upper Essequibo"		"Kuyuwini R. watershed; Aishalton Landing; upstream 1 km S and N banks."	"250"		"2.05"	"-59.15"			"D. C. Daly"		"Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"	"heptaphyllum"	"subsp."	
"a7392578-02bf-40f9-aed3-eae8e6f4b9cb"	"NY"	"New York Botanical Garden"	"S"	"904892"	"P. A. Mutchnick"	"1380"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1065958"	"1995"	"South America"	"Guyana"	"Potaro-Siparuni"		"Kato; 2 km W of village; northern Pakaraima Mountains."	"1000"		"4.65"	"-59.8"			"D. C. Daly"		"Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"	"heptaphyllum"	"subsp."	
"3e137024-2260-46bc-8c13-ab5e88efb3e8"	"NY"	"New York Botanical Garden"	"S"	"904885"	"D. Clarke"	"464"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1065951"	"1995"	"South America"	"Guyana"	"Potaro-Siparuni"		"Iwokrama Rainforest Reserve; betw. Pakutan Falls and Ireng Creek on Siparuni R."	"75"		"4.75"	"-59.02"			"D. C. Daly"		"Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"	"heptaphyllum"	"subsp."	
"b7e0caf9-c1ac-4008-857b-2402ab3ceaeb"	"NY"	"New York Botanical Garden"	"S"	"904894"	"P. A. Mutchnick"	"1546"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1065959"	"1995"	"South America"	"Guyana"	"Potaro-Siparuni"		"Northern Pakaraimas; Kato Village, Annuyeng Creek & Annuyeng Melu (Falls)."	"834"		"4.65"	"-59.8"			"D. C. Daly"		"Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"	"heptaphyllum"	"subsp."	
"9065d78c-bd81-484f-a23e-4cf5c851e418"	"NY"	"New York Botanical Garden"	"S"	"904886"	"P. A. Mutchnick"	"1618"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1065952"	"1995"	"South America"	"Guyana"	"Potaro-Siparuni"		"Northern Pakaraimas; Koa Valley, Annuyeng Creek from mouth to Falls."	"834"		"4.65"	"-59.8"			"D. C. Daly"		"Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"	"heptaphyllum"	"subsp."	
"60c12ea7-0457-46fe-85f2-1f2f04533ee0"	"NY"	"New York Botanical Garden"	"S"	"626725"	"F. C. Hoehne"	"28320"	"http://sweetgum.nybg.org/vh/specimen.php?irn=71769"		"South America"	"Brazil"	"São Paulo"										"isotype"	"Protium heptaphyllum (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"			"(Aubl.) Marchand"
"a600ed6c-4375-4967-8017-2caff2f7ecaa"	"NY"	"New York Botanical Garden"	"S"	"929497"	"D. Alvarenga"	"1232"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1050516"	"1998"	"South America"	"Brazil"	"Goiás"	"Mara Rosa"	"Fazenda Bom Jesus, proprietário: João Martins."	"325"	"325"	"-14.0925"	"-49.2789"			"D. C. Daly"		"Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"	"heptaphyllum"	"subsp."	
"2bc4d14a-95b8-4e00-a422-c9d226aee625"	"NY"	"New York Botanical Garden"	"S"	"904884"	"P. A. Mutchnick"	"887"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1065950"	"1995"	"South America"	"Guyana"	"Potaro-Siparuni"		"Iwokrama Reserve. Iwokrama Mountains, Surama savanna and Surama Lake."	"65"		"4.15"	"-59.03"			"D. C. Daly"		"Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"	"heptaphyllum"	"subsp."	
"c2a2372f-3bc1-4b63-a9e2-f54abcda0c41"	"NY"	"New York Botanical Garden"	"S"	"345762"	"W. R. Hostmann"	"1292"	"http://sweetgum.nybg.org/vh/specimen.php?irn=378738"		"South America"	"Suriname"						"4"	"-57.5"	"Not on label - Method and source unkown"			"lectotype"	"Protium heptaphyllum (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"			"(Aubl.) Marchand"
"758674fd-30cb-474d-8442-94cab7db29a6"	"NY"	"New York Botanical Garden"	"S"	"904889"	"T. W. Henkel"	"3064"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1065955"	"1993"	"South America"	"Guyana"	"Upper Takutu-Upper Essequibo"		"Kuyuwini R. watershed; Bat Mt; N and NE slopes of inselberg."	"300"	"450"	"2.18"	"-59.18"			"D. C. Daly"		"Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"	"heptaphyllum"	"subsp."	
"603295b6-2f5f-4d65-ab5c-ab0602984871"	"NY"	"New York Botanical Garden"	"S"	"1241804"	"A. Araujo-Murakami"	"3143"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1479382"	"2006"	"South America"	"Bolivia"	"La Paz"	"Franz Tamayo"	"Parque Nacional Madidi, laguna Chalalan."	"300"		"-14.425"	"-67.9211"	"Label"		"A. Araujo-Murakami"		"Protium heptaphyllum (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"			"(Aubl.) Marchand"
"4603605d-179a-404a-92b0-a7d70e9eef05"	"NY"	"New York Botanical Garden"	"S"	"929498"	"Amadeu"	"s.n."	"http://sweetgum.nybg.org/vh/specimen.php?irn=1050527"	"1948"	"South America"	"Brazil"	"Mato Grosso do Sul"	"Campo Grande"				"-20.4431"	"-54.6464"	"Other source"	"161190"			"Protium heptaphyllum (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"			"(Aubl.) Marchand"
"4d75bf3f-b180-45a3-8e43-ecb9476c4cbb"	"NY"	"New York Botanical Garden"	"S"	"904891"	"T. McDowell"	"3195"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1065957"	"1990"	"South America"	"Guyana"	"Cuyuni-Mazaruni"		"Waramadren; 0-2 km downstream of Guest House Landing."	"490"		"5.8"	"-60.73"			"D. C. Daly"		"Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"	"heptaphyllum"	"subsp."	
"96c61a9e-1452-4402-8222-658598a680c4"	"NY"	"New York Botanical Garden"	"S"	"1018089"	"S. J. da Silva Neto"	"477"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1248657"	"1994"	"South America"	"Brazil"	"Rio de Janeiro"	"Nova Iguaçú"	"Caminho Reunião-Serra Velha, entroncamento."			"-22.7594"	"-43.4508"	"Other source"	"25743"			"Protium heptaphyllum (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"			"(Aubl.) Marchand"
"f4c02599-26d5-470f-b893-983c5cd0edcc"	"NY"	"New York Botanical Garden"	"S"	"01805947"	"L.A. Gomes"	"367"	"http://sweetgum.nybg.org/vh/specimen.php?irn=2125288"	"2012"	"South America"	"Brazil"	"Sergipe"		"Capela. RVS Mata do Junco."			"-10.5361"	"-37.0633"			"D. C. Daly"		"Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"	"heptaphyllum"	"subsp."	
"2970fb42-8a59-44ee-8964-63806e0fbcdc"	"NY"	"New York Botanical Garden"	"S"	"01806111"	"P. da C. Gadelha Neto"	"3316"	"http://sweetgum.nybg.org/vh/specimen.php?irn=2129988"	"2012"	"South America"	"Brazil"	"Paraíba"		"Mataraca. Millennium Inorganic Chemicals Mineração Ltda: Reserva legal."			"-6.5022"	"-34.9769"			"D. C. Daly"		"Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"	"heptaphyllum"	"subsp."	
"375826b9-fc77-40e7-8898-a2915a982dbf"	"NY"	"New York Botanical Garden"	"S"	"929505"	"D. C. Daly"	"D383"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1050608"	"1980"	"South America"	"Brazil"	"Maranhão"	"Lago da Pedra"	"Fazenda São Raimundo, 32 km from Bacabal, on Bacabal-Lago da Pedra road (MA 245)."			"-4.28"	"-45.13"					"Protium heptaphyllum (Aubl.) Marchand"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"			"(Aubl.) Marchand"
"fd1147e8-8798-4666-bebf-536f66a3184d"	"NY"	"New York Botanical Garden"	"S"	"1309661"	"H. H. Rusby"	"1335"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1538393"	"1886"	"South America"	"Brazil"	"Rondônia"		"Falls of Madeira"			"-10.7799"	"-65.3465"	"Georeferencing Quick Reference Guide, Version 2012"	"874.569"	"D. C. Daly"		"Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"	"heptaphyllum"	"subsp."	
"38a93eb7-56ee-4393-b8d1-07658edad500"	"NY"	"New York Botanical Garden"	"S"	"929539"	"S. G. da Fonsêca"	"422"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1050721"	"1968"	"South America"	"Brazil"	"Mato Grosso"	"Ribeirão Cascalheira"	"Arredores do Acampamento da Expedição inglesa."			"-12.9064"	"-51.875"	"Google Earth"	"6000"	"D. C. Daly"		"Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"	"heptaphyllum"	"subsp."	
"ce0795f3-963b-4c14-a2c2-1127e6de3683"	"NY"	"New York Botanical Garden"	"S"	"1275548"	"V. M. Figueroa G."	"123"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1535131"	"1985"	"South America"	"Venezuela"	"Anzoátegui"	"Mun. Miranda"	"Morichal ""Agua Clarita"".  7 kms N=E de Pariaguán."							"D. C. Daly"		"Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"	"heptaphyllum"	"subsp."	
"b86dc2b6-0e73-40dc-8049-41e31c076055"	"NY"	"New York Botanical Garden"	"S"	"1275549"	"J. A. Steyermark"	"61434"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1535134"	"1945"	"South America"	"Venezuela"	"Anzoátegui"		"along Río León, northeast of Bergantín."	"500"						"D. C. Daly"		"Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"	"heptaphyllum"	"subsp."	
"4f04f609-6ab8-41ad-9b95-69f9de8df4ad"	"NY"	"New York Botanical Garden"	"S"	"1275550"	"J. Rosales"	"91"	"http://sweetgum.nybg.org/vh/specimen.php?irn=1535137"	"1987"	"South America"	"Venezuela"	"Anzoátegui"		"Río Mapire, afluente norte del Río Orinoco Medio. Estacion Musinacio."	"1483"		"8"	"-64.75"	"Label"		"D. C. Daly"		"Protium heptaphyllum (Aubl.) Marchand subsp. heptaphyllum"	"Plantae"	"Magnoliophyta"	"Burseraceae"	"Protium"	"heptaphyllum"	"heptaphyllum"	"subsp."	
